transactionId,accountId,amount,type,timestamp
t1,acc2,20.0,DEBIT,2024-01-01 10:00:01
t2,acc3,30.0,CREDIT,2024-01-01 10:00:02
t3,acc4,40.0,DEBIT,2024-01-01 10:00:03
t4,acc5,50.0,CREDIT,2024-01-01 10:00:04
t5,acc6,60.0,DEBIT,2024-01-01 10:00:05
t6,acc7,70.0,CREDIT,2024-01-01 10:00:06
t7,acc8,80.0,DEBIT,2024-01-01 10:00:07
t8,acc9,90.0,CREDIT,2024-01-01 10:00:08
t9,acc10,100.0,DEBIT,2024-01-01 10:00:09
t10,acc1,110.0,CREDIT,2024-01-01 10:00:10
t11,acc2,120.0,DEBIT,2024-01-01 10:00:11
t12,acc3,130.0,CREDIT,2024-01-01 10:00:12
t13,acc4,140.0,DEBIT,2024-01-01 10:00:13
t14,acc5,150.0,CREDIT,2024-01-01 10:00:14
t15,acc6,160.0,DEBIT,2024-01-01 10:00:15
t16,acc7,170.0,CREDIT,2024-01-01 10:00:16
t17,acc8,180.0,DEBIT,2024-01-01 10:00:17
t18,acc9,190.0,CREDIT,2024-01-01 10:00:18
t19,acc10,200.0,DEBIT,2024-01-01 10:00:19
t20,acc1,210.0,CREDIT,2024-01-01 10:00:20
t21,acc2,220.0,DEBIT,2024-01-01 10:00:21
t22,acc3,230.0,CREDIT,2024-01-01 10:00:22
t23,acc4,240.0,DEBIT,2024-01-01 10:00:23
t24,acc5,250.0,CREDIT,2024-01-01 10:00:24
t25,acc6,260.0,DEBIT,2024-01-01 10:00:25
t26,acc7,270.0,CREDIT,2024-01-01 10:00:26
t27,acc8,280.0,DEBIT,2024-01-01 10:00:27
t28,acc9,290.0,CREDIT,2024-01-01 10:00:28
t29,acc10,300.0,DEBIT,2024-01-01 10:00:29
t30,acc1,310.0,CREDIT,2024-01-01 10:00:30
t31,acc2,320.0,DEBIT,2024-01-01 10:00:31
t32,acc3,330.0,CREDIT,2024-01-01 10:00:32
t33,acc4,340.0,DEBIT,2024-01-01 10:00:33
t34,acc5,350.0,CREDIT,2024-01-01 10:00:34
t35,acc6,360.0,DEBIT,2024-01-01 10:00:35
t36,acc7,370.0,CREDIT,2024-01-01 10:00:36
t37,acc8,380.0,DEBIT,2024-01-01 10:00:37
t38,acc9,390.0,CREDIT,2024-01-01 10:00:38
t39,acc10,400.0,DEBIT,2024-01-01 10:00:39
t40,acc1,410.0,CREDIT,2024-01-01 10:00:40
t41,acc2,420.0,DEBIT,2024-01-01 10:00:41
t42,acc3,430.0,CREDIT,2024-01-01 10:00:42
t43,acc4,440.0,DEBIT,2024-01-01 10:00:43
t44,acc5,450.0,CREDIT,2024-01-01 10:00:44
t45,acc6,460.0,DEBIT,2024-01-01 10:00:45
t46,acc7,470.0,CREDIT,2024-01-01 10:00:46
t47,acc8,480.0,DEBIT,2024-01-01 10:00:47
t48,acc9,490.0,CREDIT,2024-01-01 10:00:48
t49,acc10,500.0,DEBIT,2024-01-01 10:00:49
t50,acc1,510.0,CREDIT,2024-01-01 10:00:50
t51,acc2,520.0,DEBIT,2024-01-01 10:00:51
t52,acc3,530.0,CREDIT,2024-01-01 10:00:52
t53,acc4,540.0,DEBIT,2024-01-01 10:00:53
t54,acc5,550.0,CREDIT,2024-01-01 10:00:54
t55,acc6,560.0,DEBIT,2024-01-01 10:00:55
t56,acc7,570.0,CREDIT,2024-01-01 10:00:56
t57,acc8,580.0,DEBIT,2024-01-01 10:00:57
t58,acc9,590.0,CREDIT,2024-01-01 10:00:58
t59,acc10,600.0,DEBIT,2024-01-01 10:00:59
t60,acc1,610.0,CREDIT,2024-01-01 10:01:00
t61,acc2,620.0,DEBIT,2024-01-01 10:01:01
t62,acc3,630.0,CREDIT,2024-01-01 10:01:02
t63,acc4,640.0,DEBIT,2024-01-01 10:01:03
t64,acc5,650.0,CREDIT,2024-01-01 10:01:04
t65,acc6,660.0,DEBIT,2024-01-01 10:01:05
t66,acc7,670.0,CREDIT,2024-01-01 10:01:06
t67,acc8,680.0,DEBIT,2024-01-01 10:01:07
t68,acc9,690.0,CREDIT,2024-01-01 10:01:08
t69,acc10,700.0,DEBIT,2024-01-01 10:01:09
t70,acc1,710.0,CREDIT,2024-01-01 10:01:10
t71,acc2,720.0,DEBIT,2024-01-01 10:01:11
t72,acc3,730.0,CREDIT,2024-01-01 10:01:12
t73,acc4,740.0,DEBIT,2024-01-01 10:01:13
t74,acc5,750.0,CREDIT,2024-01-01 10:01:14
t75,acc6,760.0,DEBIT,2024-01-01 10:01:15
t76,acc7,770.0,CREDIT,2024-01-01 10:01:16
t77,acc8,780.0,DEBIT,2024-01-01 10:01:17
t78,acc9,790.0,CREDIT,2024-01-01 10:01:18
t79,acc10,800.0,DEBIT,2024-01-01 10:01:19
t80,acc1,810.0,CREDIT,2024-01-01 10:01:20
t81,acc2,820.0,DEBIT,2024-01-01 10:01:21
t82,acc3,830.0,CREDIT,2024-01-01 10:01:22
t83,acc4,840.0,DEBIT,2024-01-01 10:01:23
t84,acc5,850.0,CREDIT,2024-01-01 10:01:24
t85,acc6,860.0,DEBIT,2024-01-01 10:01:25
t86,acc7,870.0,CREDIT,2024-01-01 10:01:26
t87,acc8,880.0,DEBIT,2024-01-01 10:01:27
t88,acc9,890.0,CREDIT,2024-01-01 10:01:28
t89,acc10,900.0,DEBIT,2024-01-01 10:01:29
t90,acc1,910.0,CREDIT,2024-01-01 10:01:30
t91,acc2,920.0,DEBIT,2024-01-01 10:01:31
t92,acc3,930.0,CREDIT,2024-01-01 10:01:32
t93,acc4,940.0,DEBIT,2024-01-01 10:01:33
t94,acc5,950.0,CREDIT,2024-01-01 10:01:34
t95,acc6,960.0,DEBIT,2024-01-01 10:01:35
t96,acc7,970.0,CREDIT,2024-01-01 10:01:36
t97,acc8,980.0,DEBIT,2024-01-01 10:01:37
t98,acc9,990.0,CREDIT,2024-01-01 10:01:38
t99,acc10,1000.0,DEBIT,2024-01-01 10:01:39
t100,acc1,1010.0,CREDIT,2024-01-01 10:01:40
t101,acc2,1020.0,DEBIT,2024-01-01 10:01:41
t102,acc3,1030.0,CREDIT,2024-01-01 10:01:42
t103,acc4,1040.0,DEBIT,2024-01-01 10:01:43
t104,acc5,1050.0,CREDIT,2024-01-01 10:01:44
t105,acc6,1060.0,DEBIT,2024-01-01 10:01:45
t106,acc7,1070.0,CREDIT,2024-01-01 10:01:46
t107,acc8,1080.0,DEBIT,2024-01-01 10:01:47
t108,acc9,1090.0,CREDIT,2024-01-01 10:01:48
t109,acc10,1100.0,DEBIT,2024-01-01 10:01:49
t110,acc1,1110.0,CREDIT,2024-01-01 10:01:50
t111,acc2,1120.0,DEBIT,2024-01-01 10:01:51
t112,acc3,1130.0,CREDIT,2024-01-01 10:01:52
t113,acc4,1140.0,DEBIT,2024-01-01 10:01:53
t114,acc5,1150.0,CREDIT,2024-01-01 10:01:54
t115,acc6,1160.0,DEBIT,2024-01-01 10:01:55
t116,acc7,1170.0,CREDIT,2024-01-01 10:01:56
t117,acc8,1180.0,DEBIT,2024-01-01 10:01:57
t118,acc9,1190.0,CREDIT,2024-01-01 10:01:58
t119,acc10,1200.0,DEBIT,2024-01-01 10:01:59
t120,acc1,1210.0,CREDIT,2024-01-01 10:02:00
t121,acc2,1220.0,DEBIT,2024-01-01 10:02:01
t122,acc3,1230.0,CREDIT,2024-01-01 10:02:02
t123,acc4,1240.0,DEBIT,2024-01-01 10:02:03
t124,acc5,1250.0,CREDIT,2024-01-01 10:02:04
t125,acc6,1260.0,DEBIT,2024-01-01 10:02:05
t126,acc7,1270.0,CREDIT,2024-01-01 10:02:06
t127,acc8,1280.0,DEBIT,2024-01-01 10:02:07
t128,acc9,1290.0,CREDIT,2024-01-01 10:02:08
t129,acc10,1300.0,DEBIT,2024-01-01 10:02:09
t130,acc1,1310.0,CREDIT,2024-01-01 10:02:10
t131,acc2,1320.0,DEBIT,2024-01-01 10:02:11
t132,acc3,1330.0,CREDIT,2024-01-01 10:02:12
t133,acc4,1340.0,DEBIT,2024-01-01 10:02:13
t134,acc5,1350.0,CREDIT,2024-01-01 10:02:14
t135,acc6,1360.0,DEBIT,2024-01-01 10:02:15
t136,acc7,1370.0,CREDIT,2024-01-01 10:02:16
t137,acc8,1380.0,DEBIT,2024-01-01 10:02:17
t138,acc9,1390.0,CREDIT,2024-01-01 10:02:18
t139,acc10,1400.0,DEBIT,2024-01-01 10:02:19
t140,acc1,1410.0,CREDIT,2024-01-01 10:02:20
t141,acc2,1420.0,DEBIT,2024-01-01 10:02:21
t142,acc3,1430.0,CREDIT,2024-01-01 10:02:22
t143,acc4,1440.0,DEBIT,2024-01-01 10:02:23
t144,acc5,1450.0,CREDIT,2024-01-01 10:02:24
t145,acc6,1460.0,DEBIT,2024-01-01 10:02:25
t146,acc7,1470.0,CREDIT,2024-01-01 10:02:26
t147,acc8,1480.0,DEBIT,2024-01-01 10:02:27
t148,acc9,1490.0,CREDIT,2024-01-01 10:02:28
t149,acc10,1500.0,DEBIT,2024-01-01 10:02:29
t150,acc1,1510.0,CREDIT,2024-01-01 10:02:30
t151,acc2,1520.0,DEBIT,2024-01-01 10:02:31
t152,acc3,1530.0,CREDIT,2024-01-01 10:02:32
t153,acc4,1540.0,DEBIT,2024-01-01 10:02:33
t154,acc5,1550.0,CREDIT,2024-01-01 10:02:34
t155,acc6,1560.0,DEBIT,2024-01-01 10:02:35
t156,acc7,1570.0,CREDIT,2024-01-01 10:02:36
t157,acc8,1580.0,DEBIT,2024-01-01 10:02:37
t158,acc9,1590.0,CREDIT,2024-01-01 10:02:38
t159,acc10,1600.0,DEBIT,2024-01-01 10:02:39
t160,acc1,1610.0,CREDIT,2024-01-01 10:02:40
t161,acc2,1620.0,DEBIT,2024-01-01 10:02:41
t162,acc3,1630.0,CREDIT,2024-01-01 10:02:42
t163,acc4,1640.0,DEBIT,2024-01-01 10:02:43
t164,acc5,1650.0,CREDIT,2024-01-01 10:02:44
t165,acc6,1660.0,DEBIT,2024-01-01 10:02:45
t166,acc7,1670.0,CREDIT,2024-01-01 10:02:46
t167,acc8,1680.0,DEBIT,2024-01-01 10:02:47
t168,acc9,1690.0,CREDIT,2024-01-01 10:02:48
t169,acc10,1700.0,DEBIT,2024-01-01 10:02:49
t170,acc1,1710.0,CREDIT,2024-01-01 10:02:50
t171,acc2,1720.0,DEBIT,2024-01-01 10:02:51
t172,acc3,1730.0,CREDIT,2024-01-01 10:02:52
t173,acc4,1740.0,DEBIT,2024-01-01 10:02:53
t174,acc5,1750.0,CREDIT,2024-01-01 10:02:54
t175,acc6,1760.0,DEBIT,2024-01-01 10:02:55
t176,acc7,1770.0,CREDIT,2024-01-01 10:02:56
t177,acc8,1780.0,DEBIT,2024-01-01 10:02:57
t178,acc9,1790.0,CREDIT,2024-01-01 10:02:58
t179,acc10,1800.0,DEBIT,2024-01-01 10:02:59
t180,acc1,1810.0,CREDIT,2024-01-01 10:03:00
t181,acc2,1820.0,DEBIT,2024-01-01 10:03:01
t182,acc3,1830.0,CREDIT,2024-01-01 10:03:02
t183,acc4,1840.0,DEBIT,2024-01-01 10:03:03
t184,acc5,1850.0,CREDIT,2024-01-01 10:03:04
t185,acc6,1860.0,DEBIT,2024-01-01 10:03:05
t186,acc7,1870.0,CREDIT,2024-01-01 10:03:06
t187,acc8,1880.0,DEBIT,2024-01-01 10:03:07
t188,acc9,1890.0,CREDIT,2024-01-01 10:03:08
t189,acc10,1900.0,DEBIT,2024-01-01 10:03:09
t190,acc1,1910.0,CREDIT,2024-01-01 10:03:10
t191,acc2,1920.0,DEBIT,2024-01-01 10:03:11
t192,acc3,1930.0,CREDIT,2024-01-01 10:03:12
t193,acc4,1940.0,DEBIT,2024-01-01 10:03:13
t194,acc5,1950.0,CREDIT,2024-01-01 10:03:14
t195,acc6,1960.0,DEBIT,2024-01-01 10:03:15
t196,acc7,1970.0,CREDIT,2024-01-01 10:03:16
t197,acc8,1980.0,DEBIT,2024-01-01 10:03:17
t198,acc9,1990.0,CREDIT,2024-01-01 10:03:18
t199,acc10,2000.0,DEBIT,2024-01-01 10:03:19
t200,acc1,2010.0,CREDIT,2024-01-01 10:03:20
t201,acc2,2020.0,DEBIT,2024-01-01 10:03:21
t202,acc3,2030.0,CREDIT,2024-01-01 10:03:22
t203,acc4,2040.0,DEBIT,2024-01-01 10:03:23
t204,acc5,2050.0,CREDIT,2024-01-01 10:03:24
t205,acc6,2060.0,DEBIT,2024-01-01 10:03:25
t206,acc7,2070.0,CREDIT,2024-01-01 10:03:26
t207,acc8,2080.0,DEBIT,2024-01-01 10:03:27
t208,acc9,2090.0,CREDIT,2024-01-01 10:03:28
t209,acc10,2100.0,DEBIT,2024-01-01 10:03:29
t210,acc1,2110.0,CREDIT,2024-01-01 10:03:30
t211,acc2,2120.0,DEBIT,2024-01-01 10:03:31
t212,acc3,2130.0,CREDIT,2024-01-01 10:03:32
t213,acc4,2140.0,DEBIT,2024-01-01 10:03:33
t214,acc5,2150.0,CREDIT,2024-01-01 10:03:34
t215,acc6,2160.0,DEBIT,2024-01-01 10:03:35
t216,acc7,2170.0,CREDIT,2024-01-01 10:03:36
t217,acc8,2180.0,DEBIT,2024-01-01 10:03:37
t218,acc9,2190.0,CREDIT,2024-01-01 10:03:38
t219,acc10,2200.0,DEBIT,2024-01-01 10:03:39
t220,acc1,2210.0,CREDIT,2024-01-01 10:03:40
t221,acc2,2220.0,DEBIT,2024-01-01 10:03:41
t222,acc3,2230.0,CREDIT,2024-01-01 10:03:42
t223,acc4,2240.0,DEBIT,2024-01-01 10:03:43
t224,acc5,2250.0,CREDIT,2024-01-01 10:03:44
t225,acc6,2260.0,DEBIT,2024-01-01 10:03:45
t226,acc7,2270.0,CREDIT,2024-01-01 10:03:46
t227,acc8,2280.0,DEBIT,2024-01-01 10:03:47
t228,acc9,2290.0,CREDIT,2024-01-01 10:03:48
t229,acc10,2300.0,DEBIT,2024-01-01 10:03:49
t230,acc1,2310.0,CREDIT,2024-01-01 10:03:50
t231,acc2,2320.0,DEBIT,2024-01-01 10:03:51
t232,acc3,2330.0,CREDIT,2024-01-01 10:03:52
t233,acc4,2340.0,DEBIT,2024-01-01 10:03:53
t234,acc5,2350.0,CREDIT,2024-01-01 10:03:54
t235,acc6,2360.0,DEBIT,2024-01-01 10:03:55
t236,acc7,2370.0,CREDIT,2024-01-01 10:03:56
t237,acc8,2380.0,DEBIT,2024-01-01 10:03:57
t238,acc9,2390.0,CREDIT,2024-01-01 10:03:58
t239,acc10,2400.0,DEBIT,2024-01-01 10:03:59
t240,acc1,2410.0,CREDIT,2024-01-01 10:04:00
t241,acc2,2420.0,DEBIT,2024-01-01 10:04:01
t242,acc3,2430.0,CREDIT,2024-01-01 10:04:02
t243,acc4,2440.0,DEBIT,2024-01-01 10:04:03
t244,acc5,2450.0,CREDIT,2024-01-01 10:04:04
t245,acc6,2460.0,DEBIT,2024-01-01 10:04:05
t246,acc7,2470.0,CREDIT,2024-01-01 10:04:06
t247,acc8,2480.0,DEBIT,2024-01-01 10:04:07
t248,acc9,2490.0,CREDIT,2024-01-01 10:04:08
