transactionId,accountId,amount,type,timestamp
tb1,acc10,500.0,CREDIT,2024-01-01 10:04:23
tb2,acc10,200.0,CREDIT,2024-01-01 10:04:24
tb3,acc10,150.0,DEBIT,2024-01-01 10:04:22
tb4,acc20,1000.0,CREDIT,2024-01-01 10:04:22
tb5,acc20,300.0,DEBIT,2024-01-01 10:04:22
tb6,acc30,120.0,DEBIT,2024-01-01 10:04:22
tb7,acc30,80.0,DEBIT,2024-01-01 10:04:22
tb8,acc40,50.0,CREDIT,2024-01-01 10:04:22
tb9,acc40,70.0,CREDIT,2024-01-01 10:04:22
tb10,acc40,30.0,CREDIT,2024-01-01 10:04:22
tb11,acc50,400.0,CREDIT,2024-01-01 10:04:22
tb12,acc50,50.0,DEBIT,2024-01-01 10:04:22
tb13,acc50,50.0,DEBIT,2024-02-01 10:00:00
tb14,acc60,200.0,CREDIT,2024-02-01 10:05:00
tb15,acc60,50.0,DEBIT,2024-02-01 10:10:00
tb16,acc70,300.0,CREDIT,2024-02-01 10:15:00
tb17,acc70,100.0,DEBIT,2024-02-01 10:20:00
tb18,acc80,150.0,CREDIT,2024-02-01 10:25:00
tb19,acc80,20.0,DEBIT,2024-02-01 10:30:00
tb20,acc90,500.0,CREDIT,2024-02-01 10:35:00
